word;OLD20_m;OLD20_sd;OS;OUP;Language
pénible;3,2;,523148364;0;5;FRA
abandon;3,8;,410391341;0;4;FRA
bourrer;2,4;,680557047;2;5;FRA
gueuler;2,95;,223606798;0;4;FRA
dérober;2,45;,510417786;0;5;FRA
buisson;2,9;1,020835571;2;3;FRA
terreur;2,6;,598243042;1;7;FRA
fromage;3,5;,512989176;0;4;FRA
monstre;2,85;,366347549;0;4;FRA
collège;2,9;,307793506;0;5;FRA
appétit;4,1;,552506251;0;4;FRA
enfouir;3,3;,571240571;0;5;FRA
aligner;2,65;,587142949;1;4;FRA
panneau;2,8;,523148364;0;4;FRA
plainte;3;,648885685;0;5;FRA
écouler;2,35;,587142949;1;5;FRA
soucier;2,35;,670820393;2;4;FRA
vertige;2,9;,640723276;1;4;FRA
exciter;2,55;,510417786;0;4;FRA
bouffée;3,05;,825577947;0;6;FRA
autobus;4,15;,670820393;0;5;FRA
abriter;2,55;,510417786;0;4;FRA
couvent;2,45;,686332741;2;6;FRA
dommage;3,15;,74515982;1;4;FRA
employé;3,85;,587142949;0;4;FRA
revêtir;3,4;,680557047;0;4;FRA
matelas;3,6;,598243042;0;6;FRA
magique;2,75;,444261658;0;4;FRA
aboutir;2,75;,550119604;1;4;FRA
ceux-là;4,6;,753937035;0;6;FRA
lecteur;2,45;,686332741;2;5;FRA
danseur;2,65;,489360485;0;5;FRA
tronche;2,9;,640723276;1;5;FRA
trouble;3,3;,801314709;1;7;FRA
vaincre;3,05;,394034463;0;3;FRA
panique;2,65;,489360485;0;4;FRA
réjouir;3,45;,604805319;0;3;FRA
combler;2,55;,510417786;0;5;FRA
blouson;3,5;,606976979;0;4;FRA
chinois;3,9;,307793506;0;4;FRA
coutume;2,75;,638666374;2;6;FRA
couvert;2,8;,523148364;1;6;FRA
malaise;2,8;,523148364;1;5;FRA
réparer;2,55;,604805319;1;5;FRA
révolte;3,3;,923380517;2;7;FRA
irriter;2,55;,510417786;0;2;FRA
méthode;3,65;,587142949;0;4;FRA
charbon;3,1;,788068926;1;5;FRA
étendue;3,2;,767771896;1;6;FRA
grenier;2,7;,470162346;0;5;FRA
station;3,35;,587142949;0;5;FRA
flatter;2,6;,598243042;1;4;FRA
stupeur;3,1;,447213595;0;5;FRA
produit;3,65;,489360485;0;5;FRA
superbe;3,8;,410391341;0;4;FRA
tournée;2,85;,587142949;1;6;FRA
énerver;3;,324442842;0;5;FRA
naguère;3,55;,510417786;0;3;FRA
ménager;2,9;,307793506;0;4;FRA
sergent;3,1;,967906042;1;4;FRA
fourrer;2,5;,606976979;1;5;FRA
soupçon;3,55;,510417786;0;4;FRA
boucler;2,45;,604805319;1;5;FRA
tousser;2,5;,688247202;1;4;FRA
bloquer;2,5;,606976979;1;4;FRA
urgence;3,35;,489360485;0;2;FRA
haleine;2,9;,447213595;1;5;FRA
portail;3,2;,523148364;0;6;FRA
suprême;3,8;,410391341;0;4;FRA
diamant;3,4;,680557047;0;3;FRA
planète;3,25;,786397516;0;5;FRA
doubler;2,75;,444261658;0;4;FRA
coussin;2,8;,523148364;1;4;FRA
gronder;2,5;,512989176;0;4;FRA
insecte;3,25;,638666374;0;5;FRA
intense;2,7;,470162346;0;5;FRA
majesté;3,9;,307793506;0;3;FRA
barbier;3;0;0;5;FRA
février;2,9;,307793506;0;3;FRA
lenteur;2,35;,74515982;2;3;FRA
sincère;3,15;,489360485;0;4;FRA
parquet;2,85;,366347549;0;4;FRA
honteux;2,75;,444261658;0;4;FRA
ancêtre;3,75;,444261658;0;3;FRA
bonsoir;3,3;,656946685;0;4;FRA
esclave;3,65;,489360485;0;4;FRA
section;3,1;,718184846;0;5;FRA
séduire;3,05;,887041208;1;3;FRA
rédiger;2,8;,410391341;0;4;FRA
brandir;3,15;,74515982;1;5;FRA
semelle;2,6;,598243042;1;5;FRA
pourrir;2,55;,604805319;1;5;FRA
défaite;2,95;,686332741;1;6;FRA
saigner;2,35;,74515982;2;6;FRA
tranche;2,6;,753937035;3;7;FRA
frisson;2,9;,788068926;0;4;FRA
surpris;3,75;,550119604;0;5;FRA
sagesse;3,4;,680557047;0;3;FRA
rupture;2,95;,223606798;0;3;FRA
enquête;3,55;,686332741;0;3;FRA
sursaut;3,55;,604805319;0;4;FRA
boucher;2,1;,788068926;2;6;FRA
écolier;2,75;,444261658;0;4;FRA
feindre;2,45;,887041208;1;3;FRA
ficelle;2,9;,447213595;0;6;FRA
hostile;3,25;,550119604;0;4;FRA
serpent;3;,917662935;1;4;FRA
ceux-ci;4,8;,695852374;0;6;FRA
vedette;3,05;,394034463;0;3;FRA
falaise;3,05;,686332741;1;4;FRA
revivre;3,25;,638666374;0;5;FRA
royaume;3,8;,410391341;0;3;FRA
échouer;2,8;,410391341;0;5;FRA
affoler;2,65;,587142949;1;4;FRA
ressort;3,3;,656946685;0;4;FRA
prudent;3,4;,598243042;0;4;FRA
cortège;2,9;,447213595;0;4;FRA
secteur;2,5;,688247202;2;5;FRA
élancer;2,8;,410391341;0;4;FRA
décorer;2,1;,447213595;1;5;FRA
collier;2,45;,604805319;1;6;FRA
rempart;3,15;,587142949;0;5;FRA
affiche;3,45;,510417786;0;5;FRA
arroser;2,75;,444261658;0;5;FRA
éblouir;3,5;,606976979;0;3;FRA
barrage;2,75;,444261658;0;5;FRA
courber;2,7;,470162346;0;5;FRA
peupler;2,9;,307793506;0;4;FRA
prairie;3,5;,512989176;0;3;FRA
barreau;2,65;,670820393;1;5;FRA
grincer;2,65;,489360485;0;4;FRA
déplier;2,85;,366347549;0;5;FRA
rêverie;3,5;,512989176;0;2;FRA
pelouse;3,45;,604805319;0;5;FRA
élargir;3,35;,489360485;0;4;FRA
sombrer;2,75;,444261658;0;4;FRA
tambour;3,8;,410391341;0;4;FRA
limiter;2,85;,366347549;0;4;FRA
serrure;2,85;,366347549;0;4;FRA
foulard;3,3;,656946685;0;4;FRA
liquide;3,85;,489360485;0;5;FRA
pension;2,95;,759154655;1;5;FRA
rouleau;2,8;,523148364;1;5;FRA
ampoule;3,9;,307793506;0;4;FRA
masquer;2,65;,74515982;2;4;FRA
colonie;2,85;,670820393;1;6;FRA
quoique;2,8;,410391341;0;3;FRA
caporal;3,75;,550119604;0;4;FRA
chiffon;3,45;,686332741;0;6;FRA
maillot;2,65;,670820393;2;7;FRA
suicide;3,65;,489360485;0;4;FRA
symbole;3,9;,307793506;0;3;FRA
amusant;3;,324442842;0;3;FRA
cligner;2,65;,587142949;1;3;FRA
réflexe;3,9;,307793506;0;4;FRA
frangin;3,5;,606976979;0;6;FRA
contrer;2,4;,598243042;1;6;FRA
servant;2,6;,50262469;0;5;FRA
vendeur;2,6;,598243042;1;4;FRA
bâiller;2,5;,606976979;1;3;FRA
cristal;3,65;,489360485;0;5;FRA
épisode;3,9;,307793506;0;4;FRA
musette;2,65;,587142949;1;4;FRA
rouvrir;2,65;,587142949;1;4;FRA
caprice;3,45;,510417786;0;4;FRA
graisse;3;0;0;4;FRA
marquis;3,35;,587142949;0;6;FRA
cloison;3,2;,615587011;0;4;FRA
épingle;3,45;,604805319;0;5;FRA
lisière;2,4;,680557047;2;5;FRA
robinet;3,45;,604805319;0;4;FRA
ronfler;2,75;,550119604;1;4;FRA
ivresse;2,9;,447213595;0;4;FRA
zingaro;4,6;,50262469;0;2;FRA
pinceau;3,15;,587142949;0;3;FRA
sifflet;3,65;,74515982;1;7;FRA
éclairé;3,6;,50262469;0;5;FRA
mousson;2,6;,598243042;1;6;FRA
auberge;3,7;,571240571;0;4;FRA
faculté;3,8;,410391341;0;4;FRA
émettre;3,35;,812727701;1;4;FRA
habillé;3,4;,598243042;0;5;FRA
notaire;3,05;,825577947;1;5;FRA
rancune;3,55;,510417786;0;4;FRA
