word;OLD20_m;OLD20_sd;OS;OUP;Language
poliisi;3,55;,510417786;0;4;FIN
polttaa;2,75;,444261658;0;4;FIN
porissa;2,65;,670820393;2;6;FIN
porista;2,6;,598243042;1;6;FIN
porojen;2,85;,366347549;0;4;FIN
portaat;2,95;,394034463;0;4;FIN
porukan;3,05;,510417786;0;6;FIN
porukka;3,45;,604805319;0;6;FIN
porvoon;3,55;,510417786;0;4;FIN
potilas;3,7;,470162346;0;3;FIN
puhakka;3,65;,489360485;0;4;FIN
puheita;2,85;,489360485;1;5;FIN
puhelin;3,25;,786397516;1;6;FIN
puhelun;3,4;,940324692;2;7;FIN
puhelut;3,2;,833508753;1;7;FIN
puhetta;2,75;,550119604;1;5;FIN
puhtaan;2,45;,604805319;1;7;FIN
puhtaat;2,7;,571240571;1;7;FIN
puhtaus;3,15;,587142949;0;6;FIN
puhumme;3,65;,489360485;0;5;FIN
puhunut;3,15;,74515982;0;5;FIN
puhuttu;2,8;,410391341;0;5;FIN
puhuvat;3,2;,695852374;0;5;FIN
puiston;2,95;,604805319;0;3;FIN
pulahti;3,75;,444261658;0;3;FIN
puoleen;2,6;,50262469;0;5;FIN
puoliso;3,75;,550119604;0;5;FIN
puranen;2,8;,410391341;0;4;FIN
purolla;2,8;,523148364;1;4;FIN
putkeen;2,8;,523148364;1;5;FIN
putkien;2,7;,656946685;2;5;FIN
puuttua;2,5;,76088591;2;7;FIN
puuttui;2,9;1,071152847;2;7;FIN
puuttuu;2,85;1,039989878;2;7;FIN
pyrimme;3,6;,50262469;0;5;FIN
pyritty;3,4;,50262469;0;5;FIN
pystytä;3,5;,606976979;0;6;FIN
pystyyn;3,5;,688247202;0;6;FIN
pysynyt;3,3;,571240571;0;5;FIN
pysyviä;3,4;,88257995;1;6;FIN
pysyvän;3,25;1,019545823;1;7;FIN
pysyvät;3,05;1,099042646;2;7;FIN
pysyvää;3,25;1,118033989;2;7;FIN
päivien;2,8;,410391341;0;6;FIN
päivinä;3,5;,827170192;1;6;FIN
päivyri;3,95;,686332741;0;5;FIN
päivänä;3,45;,887041208;1;6;FIN
päiväys;3,6;,680557047;0;6;FIN
päivään;3,1;,718184846;0;6;FIN
pälkäne;3,95;,223606798;0;3;FIN
pärjätä;3,75;,444261658;0;3;FIN
pääasia;3,65;,587142949;0;4;FIN
pääomaa;3,7;,732695097;1;7;FIN
pääoman;3,7;,801314709;1;7;FIN
pääosin;3,55;,686332741;0;5;FIN
pääsisi;3,55;,510417786;0;5;FIN
päässyt;3,5;,606976979;0;5;FIN
päästä�;2,6;,680557047;2;6;FIN
päästöt;3,15;,87509398;1;6;FIN
päättyi;2,95;,759154655;1;7;FIN
päättyy;3;,858395075;1;7;FIN
päättä�;2,35;,587142949;1;6;FIN
päätää;2,7;,470162346;0;5;FIN
pöytään;3,35;,587142949;0;2;FIN
rahaksi;3,45;,604805319;0;5;FIN
rahalla;2,4;,598243042;1;5;FIN
rahasta;2,6;,598243042;1;7;FIN
rahasto;3,05;,759154655;1;7;FIN
raision;3;,324442842;0;3;FIN
rajalla;2,45;,604805319;1;5;FIN
rajattu;3,15;,670820393;0;5;FIN
rajojen;2,6;,50262469;0;4;FIN
rajusti;3,55;,510417786;0;4;FIN
rakenne;3,8;,523148364;0;6;FIN
rakensi;3,75;,550119604;0;6;FIN
rakkaus;3,05;,887041208;2;4;FIN
rankkaa;2,65;,489360485;0;4;FIN
ranskan;2,8;,695852374;1;4;FIN
rantaan;2,1;,447213595;1;6;FIN
rantala;2,5;,606976979;1;6;FIN
raoissa;2,7;,470162346;0;3;FIN
raskaan;2,6;,50262469;0;3;FIN
rauhaan;2,7;,470162346;0;6;FIN
rauhala;2,7;,470162346;0;6;FIN
ravinto;3,7;,470162346;0;3;FIN
reaktio;3,95;,223606798;0;3;FIN
rehtori;3,4;,88257995;1;4;FIN
rehujen;3,15;,366347549;0;4;FIN
reittiä;2,75;,444261658;0;3;FIN
renkaat;3,5;,606976979;0;3;FIN
resepti;3,95;,223606798;0;3;FIN
riippuu;4,35;,587142949;0;4;FIN
riittää;2,25;,638666374;1;4;FIN
rikkaus;3,5;,827170192;1;3;FIN
rintala;2,8;,523148364;1;3;FIN
risikko;3,55;,604805319;0;4;FIN
riskejä;3,9;,307793506;0;5;FIN
riskien;2,8;,410391341;0;5;FIN
ristiin;2,85;,366347549;0;4;FIN
rohkeat;3,55;,686332741;0;6;FIN
rohkeus;3,55;,686332741;0;6;FIN
romaani;3,45;,604805319;0;5;FIN
romania;3,6;,680557047;0;5;FIN
rooliin;3,1;,307793506;0;3;FIN
runojen;2,7;,470162346;0;4;FIN
runsaan;2,7;,571240571;1;7;FIN
runsaat;3,5;,827170192;1;7;FIN
ruoasta;2,85;,366347549;0;4;FIN
ruohola;3,55;,604805319;0;4;FIN
ruokaan;2,5;,512989176;0;6;FIN
ruokala;2,85;,366347549;0;6;FIN
ruotsia;2,95;,604805319;1;7;FIN
ruotsin;2,8;,523148364;1;7;FIN
ruumiin;2,9;,307793506;0;3;FIN
ryhmien;2,9;,640723276;1;6;FIN
ryhmiin;2,9;,640723276;1;6;FIN
ryhmään;2,95;,604805319;0;5;FIN
räppiin;3,6;,50262469;0;3;FIN
rästien;2,75;,444261658;0;4;FIN
räsänen;3,2;,615587011;0;4;FIN
saadaan;2,65;,587142949;1;4;FIN
saamaan;2,4;,680557047;2;4;FIN
saaneen;2,75;,550119604;1;7;FIN
saaneet;2,85;,489360485;1;7;FIN
saannin;3,2;,615587011;0;5;FIN
saarela;2,95;,223606798;0;4;FIN
saatava;2,6;,50262469;0;5;FIN
saatiin;2,85;,366347549;0;5;FIN
saattaa;2,65;,489360485;0;6;FIN
saattoi;3,4;,680557047;0;6;FIN
saatuja;2,9;,307793506;0;5;FIN
safiiri;3,85;,366347549;0;3;FIN
saimaan;2,35;,670820393;2;4;FIN
sairaan;2,4;,598243042;1;6;FIN
sairaus;3,25;,550119604;0;6;FIN
saksaan;2,7;,470162346;0;6;FIN
saksala;2,9;,307793506;0;6;FIN
salatut;3,45;,604805319;0;4;FIN
salissa;2,55;,604805319;1;4;FIN
salmela;2,9;,307793506;0;4;FIN
salomaa;2,95;,394034463;0;5;FIN
salonen;2;,561951487;1;5;FIN
salossa;2,4;,753937035;2;5;FIN
samalla;2;,648885685;3;7;FIN
samalle;2,55;,604805319;1;7;FIN
samalta;2,45;,686332741;2;6;FIN
samassa;2,35;,587142949;1;6;FIN
samasta;2,4;,753937035;3;6;FIN
samojen;2,4;,680557047;1;4;FIN
sanalla;2,2;,615587011;1;5;FIN
sanasta;2,45;,604805319;1;5;FIN
sankari;3,45;,604805319;0;4;FIN
sanojen;2,3;,656946685;1;5;FIN
sanomat;3,3;,864504726;1;5;FIN
sanonta;2,85;,366347549;0;6;FIN
sanonut;3;,72547625;0;6;FIN
sanottu;3;,561951487;0;6;FIN
sanotun;3,15;,670820393;0;6;FIN
sanovat;2,95;,686332741;1;5;FIN
santeri;3,3;,571240571;0;4;FIN
saralla;2,2;,695852374;2;4;FIN
sarjaan;2,5;,512989176;0;4;FIN
sataman;2,8;,410391341;0;4;FIN
satojen;2,3;,656946685;1;4;FIN
satsata;2,95;,223606798;0;4;FIN
seinien;2,9;,307793506;0;5;FIN
seinään;3;,561951487;0;5;FIN
sekoita;3,55;,510417786;0;4;FIN
sektori;3,4;,753937035;0;4;FIN
selillä;2,85;,366347549;0;5;FIN
selitys;3,5;,606976979;0;5;FIN
selkeän;3;,858395075;1;7;FIN
selkeät;3,4;,940324692;1;7;FIN
selkeää;3,2;1,00524938;1;7;FIN
selvisi;3,65;,670820393;0;6;FIN
selvitä;3,4;,820782682;1;6;FIN
selviää;3,45;,887041208;1;6;FIN
seniori;3,55;,686332741;0;4;FIN
senttiä;3,1;,552506251;0;5;FIN
sentään;2,9;,307793506;0;5;FIN
seppälä;3,7;,732695097;1;3;FIN
seuraan;2,75;,444261658;0;6;FIN
seurasi;3,65;,670820393;0;6;FIN
seurata;3,25;,716350399;0;6;FIN
sidottu;3,55;,604805319;0;3;FIN
siirron;3,3;,656946685;0;5;FIN
siirtoa;3,15;,812727701;0;6;FIN
siirtyi;3,05;,998683344;1;7;FIN
siirtyy;2,95;1,050062655;1;7;FIN
siirtyä;2,7;,923380517;2;7;FIN
siirtää;2,45;,686332741;2;6;FIN
siivous;3,85;,366347549;0;4;FIN
sijaita;2,85;,489360485;1;5;FIN
sijalla;2,3;,571240571;1;7;FIN
sijalle;2,55;,604805319;1;7;FIN
sijasta;2,45;,604805319;1;5;FIN
sikalan;3,1;,307793506;0;4;FIN
sikojen;2,45;,604805319;1;4;FIN
silloin;3,1;,788068926;1;4;FIN
silmien;2,8;,523148364;1;6;FIN
silmiin;2,75;,550119604;1;6;FIN
silmään;2,75;,444261658;0;5;FIN
simonen;2,35;,670820393;2;3;FIN
sinikka;3,25;,550119604;0;5;FIN
sininen;2,65;,489360485;0;5;FIN
sinulla;2,3;,732695097;3;7;FIN
sinulle;2,5;,76088591;3;7;FIN
sinusta;2,5;,606976979;1;5;FIN
sinäkin;3,1;,967906042;2;5;FIN
sinänsä;3,5;,512989176;0;5;FIN
sippola;3,55;,510417786;0;4;FIN
sipulia;3;,794719414;1;7;FIN
sipulit;3,6;,753937035;1;7;FIN
sisälle;2,45;,686332741;1;7;FIN
sisälly;2,9;,911909506;1;7;FIN
sisällä;2,55;,759154655;2;7;FIN
sisälsi;2,95;,887041208;0;6;FIN
sisältä;2,95;,944513241;2;7;FIN
sisältö;3,3;,97872097;1;7;FIN
sisäovi;3,55;,604805319;0;5;FIN
sitovat;3,25;,638666374;0;4;FIN
sitäkin;3,25;,786397516;1;4;FIN
siunaus;3,65;,489360485;0;3;FIN
sivonen;2,35;,587142949;1;4;FIN
sivujen;2,8;,410391341;0;5;FIN
sivulla;2,45;,759154655;3;7;FIN
sivulle;2,5;,688247202;2;7;FIN
sivulta;2,6;,598243042;1;6;FIN
sivusto;3,3;,656946685;0;5;FIN
sodassa;2,6;,680557047;2;6;FIN
sodasta;2,6;,598243042;1;6;FIN
soittaa;2,35;,670820393;1;3;FIN
sokeria;3,7;,470162346;0;3;FIN
solassa;2,45;,604805319;1;4;FIN
solujen;2,9;,307793506;0;4;FIN
somalia;2,8;,410391341;0;3;FIN
sopimus;3,5;,606976979;0;5;FIN
sopinut;3,15;,74515982;0;5;FIN
sopivaa;3,1;1,020835571;2;7;FIN
sopivan;3,1;,967906042;1;7;FIN
sopivat;2,85;,933302004;1;7;FIN
sopivia;3,4;,88257995;1;6;FIN
sotkamo;4,05;,394034463;0;3;FIN
sovellu;3,45;,510417786;0;4;FIN
sovittu;3,25;,638666374;0;6;FIN
sovitun;3,4;,820782682;1;7;FIN
sovitut;3,35;,87509398;1;7;FIN
stressi;3,85;,366347549;0;2;FIN
suhonen;2,55;,604805319;1;4;FIN
suhteen;2,45;,604805319;1;7;FIN
suhteet;2,75;,550119604;1;7;FIN
sujunut;3,45;,759154655;0;5;FIN
sujuvat;3,4;,680557047;0;5;FIN
summeri;3,7;,470162346;0;3;FIN
suojata;3,1;,640723276;0;4;FIN
suokatu;3,4;,753937035;0;4;FIN
suomeen;2,6;,50262469;0;4;FIN
suoraan;2,55;,510417786;0;4;FIN
suosion;2,75;,444261658;0;4;FIN
susanna;3,75;,444261658;0;3;FIN
suunnan;3,15;,489360485;0;5;FIN
suuntaa;2,85;,366347549;0;5;FIN
suureen;2,55;,604805319;1;6;FIN
suurena;3,1;,640723276;0;6;FIN
suuriin;2,8;,410391341;0;5;FIN
suurten;2,95;,759154655;1;5;FIN
suuruus;3,6;,50262469;0;5;FIN
suutari;3,2;,523148364;0;4;FIN
suvanto;3,7;,470162346;0;3;FIN
sveitsi;3,9;,307793506;0;2;FIN
sydämen;3,85;,366347549;0;5;FIN
sydäntä;3,55;,510417786;0;5;FIN
syksynä;3,8;,523148364;0;6;FIN
syksyyn;3,7;,656946685;0;6;FIN
syntyvä;3,5;,606976979;0;6;FIN
syntyyn;3,6;,753937035;0;6;FIN
syrjälä;3,8;,410391341;0;3;FIN
syvälle;2,95;,759154655;1;5;FIN
syvästi;3,45;,604805319;0;5;FIN
syyskuu;4,4;,50262469;0;4;FIN
syyttää;2,75;,550119604;1;4;FIN
syödään;2,65;,670820393;1;4;FIN
syömään;2,65;,812727701;1;4;FIN
syöpään;2,95;,887041208;1;4;FIN
syöttää;2,75;,550119604;1;4;FIN
syöviin;3,3;,470162346;0;4;FIN
säiliön;3,6;,598243042;0;3;FIN
säännös;3,55;,944513241;2;7;FIN
säännöt;3,45;,887041208;1;7;FIN
säästyy;3,1;,788068926;0;6;FIN
säästä�;2,65;,74515982;2;6;FIN
säästöt;3,15;1,039989878;2;7;FIN
säästö�;2,95;,944513241;2;7;FIN
säätiön;3,3;,571240571;0;4;FIN
tahansa;3;0;0;4;FIN
tahojen;2,45;,604805319;1;5;FIN
taholta;2,8;,410391341;0;5;FIN
tahtiin;2,65;,587142949;1;4;FIN
taikina;2,95;,223606798;0;4;FIN
taipale;3,55;,604805319;0;4;FIN
taitava;2,6;,50262469;0;5;FIN
taiteen;2,2;,523148364;1;5;FIN
taitoja;2,85;,366347549;0;5;FIN
taivaan;2,8;,410391341;0;4;FIN
tajusin;3,15;,670820393;0;3;FIN
talojen;1,95;,604805319;3;5;FIN
talolla;2,45;,604805319;1;5;FIN
talossa;2,3;,801314709;3;6;FIN
talosta;2,35;,74515982;3;6;FIN
talteen;2,4;,598243042;1;4;FIN
talvena;3,1;,307793506;0;4;FIN
tammela;3,05;,686332741;0;4;FIN
tampere;3,75;,444261658;0;4;FIN
tanskan;2,85;,489360485;1;5;FIN
tanssia;2,8;,894427191;1;7;FIN
tanssii;3,3;1,080935268;1;7;FIN
tanssin;2,55;,759154655;1;7;FIN
tanssit;3,25;1,069923755;1;7;FIN
tapaama;3,2;,615587011;0;5;FIN
tapahdu;3,9;,307793506;0;5;FIN
tapasin;2,9;,447213595;0;5;FIN
tapiola;3;0;0;4;FIN
taponen;2,4;,598243042;1;4;FIN
tarinaa;2,7;,656946685;1;7;FIN
tarinan;2,75;,638666374;1;7;FIN
tarinat;3;,794719414;1;7;FIN
tarjoaa;2,65;,587142949;1;6;FIN
tarjosi;3,35;,74515982;0;6;FIN
tarjota;2,7;,571240571;1;6;FIN
tarjous;3,2;,695852374;0;6;FIN
tarkkaa;2,6;,598243042;1;5;FIN
tarkoin;2,85;,366347549;0;5;FIN
tarpeen;2,7;,571240571;1;7;FIN
tarpeet;2,9;,447213595;1;7;FIN
tarttua;2,8;,615587011;1;7;FIN
tarttui;2,95;,825577947;1;7;FIN
tarttuu;3,1;,852241626;1;7;FIN
tarvita;2,85;,366347549;0;4;FIN
tasalla;2,2;,615587011;2;5;FIN
tasamaa;2,9;,307793506;0;5;FIN
tasolla;2,5;,76088591;3;7;FIN
tasolle;2,75;,550119604;1;7;FIN
tasosta;2,7;,571240571;1;5;FIN
taustaa;2,7;,470162346;0;4;FIN
tautien;2,75;,444261658;0;4;FIN
tavaksi;3,2;,523148364;0;5;FIN
tavalla;2,2;,615587011;2;5;FIN
tavaraa;2,8;,767771896;1;7;FIN
tavaran;2,75;,638666374;1;7;FIN
tavarat;3,3;,923380517;1;7;FIN
tavoite;3,55;,510417786;0;4;FIN
teemaan;2,7;,470162346;0;6;FIN
teemana;3,65;,670820393;0;6;FIN
teemoja;3,3;,656946685;0;5;FIN
teettää;2,7;,470162346;0;4;FIN
tehdään;2,95;,223606798;0;4;FIN
tehneet;2,85;,366347549;0;4;FIN
tehokas;3,65;,587142949;0;4;FIN
tehtaan;2,5;,606976979;1;7;FIN
tehtaat;2,95;,604805319;1;7;FIN
tehtiin;2,5;,606976979;1;5;FIN
tehtyjä;3,45;,686332741;0;6;FIN
tehtyyn;3,2;,695852374;0;6;FIN
tehtävä;3,25;,638666374;0;5;FIN
tekemiä;3,1;,852241626;1;6;FIN
tekemän;2,55;,759154655;2;7;FIN
tekemät;2,65;,933302004;2;7;FIN
tekemää;2,85;1,039989878;2;7;FIN
tekevän;2,5;,688247202;2;7;FIN
tekevät;2,4;,753937035;3;7;FIN
tekijän;2,95;,944513241;1;7;FIN
tekijät;2,9;1,020835571;2;7;FIN
tekijää;3;,917662935;1;7;FIN
tekivät;2,5;,688247202;2;5;FIN
tekstin;2,75;,716350399;1;7;FIN
tekstit;3,1;,852241626;1;7;FIN
tekstiä;3,05;,887041208;1;7;FIN
teoksen;3;,72547625;1;7;FIN
teokset;3,35;,812727701;1;7;FIN
teoksia;3,3;,656946685;0;6;FIN
teoriaa;3,5;,76088591;1;7;FIN
teorian;2,85;,489360485;1;7;FIN
teosten;2,85;,366347549;0;4;FIN
terassi;3,4;,598243042;0;4;FIN
terille;2,5;,688247202;2;4;FIN
terveen;2,85;,366347549;0;6;FIN
terveys;3,8;,615587011;0;6;FIN
terästä;2,9;,307793506;0;4;FIN
testata;3,15;,587142949;0;6;FIN
testaus;3,45;,686332741;0;6;FIN
thaimaa;3,4;,50262469;0;2;FIN
tiainen;2,75;,444261658;0;5;FIN
tiaisia;3,4;,50262469;0;5;FIN
tiedetä;3,6;,598243042;0;5;FIN
tiedote;3,8;,523148364;0;5;FIN
tiennyt;3,55;,686332741;0;4;FIN
tieteen;2,35;,489360485;0;5;FIN
tietoja;2,7;,470162346;0;6;FIN
tietoon;3,15;,670820393;0;6;FIN
tiettyä;2,8;,410391341;0;5;FIN
tietyin;3;,561951487;0;5;FIN
tiistai;3,2;,615587011;0;3;FIN
tilaaja;3,1;,788068926;0;5;FIN
tilalla;2,3;,656946685;2;7;FIN
tilalle;2,6;,680557047;2;7;FIN
tilalta;2,65;,670820393;2;6;FIN
tilanne;3,55;,604805319;0;5;FIN
tilassa;2,35;,587142949;1;6;FIN
tilasta;2,4;,680557047;2;6;FIN
tilille;2,6;,598243042;1;4;FIN
tilojen;2,35;,670820393;1;4;FIN
timonen;2,4;,598243042;1;3;FIN
tiukkaa;2,95;,510417786;0;3;FIN
todeksi;3,2;,695852374;0;5;FIN
todella;2,85;,366347549;0;5;FIN
todettu;3,3;,571240571;0;5;FIN
todiste;3,4;,680557047;0;4;FIN
tohtori;3,65;,670820393;0;3;FIN
toijala;2,9;,307793506;0;4;FIN
toimeen;2,55;,686332741;2;5;FIN
toimien;2,3;,656946685;2;6;FIN
toimiin;2,45;,686332741;2;6;FIN
toimija;2,6;,680557047;1;6;FIN
toimisi;3,15;,812727701;0;6;FIN
toimita;2,6;,680557047;1;6;FIN
toimiva;2,65;,74515982;1;6;FIN
toiseen;2,55;,686332741;2;6;FIN
toisena;2,85;,366347549;0;6;FIN
toisiin;2,6;,598243042;1;5;FIN
toistaa;2,35;,587142949;1;6;FIN
toisten;2,45;,604805319;1;6;FIN
toiveet;2,85;,366347549;0;5;FIN
toivion;2,8;,410391341;0;5;FIN
toivola;2,85;,366347549;0;5;FIN
tolonen;2,25;,550119604;1;3;FIN
tommila;3;,648885685;0;3;FIN
torilla;2,75;,550119604;1;7;FIN
torille;2,5;,688247202;2;7;FIN
tornion;3,4;,598243042;0;4;FIN
torstai;3,25;,638666374;0;4;FIN
tosiaan;2,95;,223606798;0;3;FIN
totesin;3,35;,587142949;0;5;FIN
toteudu;3,85;,366347549;0;5;FIN
totuttu;3,45;,686332741;0;4;FIN
trendit;3,75;,716350399;1;2;FIN
tuetaan;2,2;,523148364;1;3;FIN
tuhatta;2,95;,223606798;0;4;FIN
tuhoutu;3,75;,444261658;0;4;FIN
tukenut;2,95;,759154655;1;5;FIN
tukesin;2,85;,366347549;0;5;FIN
tukevan;2,5;,688247202;2;7;FIN
tukevat;2,4;,680557047;2;7;FIN
tukevia;2,8;,767771896;1;6;FIN
tuleeko;3,65;,489360485;0;5;FIN
tulemme;3,55;,510417786;0;5;FIN
tulevaa;2,5;,76088591;2;7;FIN
tulevan;2,4;,753937035;2;7;FIN
tulevat;2,5;,827170192;3;7;FIN
tulevia;2,9;,852241626;2;6;FIN
tulikin;3;0;0;5;FIN
tulityö;3,8;,410391341;0;5;FIN
tulivat;2,75;,550119604;1;5;FIN
tulkita;2,9;,307793506;0;4;FIN
tullaan;2,6;,50262469;0;5;FIN
tulleen;2,5;,606976979;1;7;FIN
tulleet;2,75;,550119604;1;7;FIN
tulojen;2,3;,732695097;2;5;FIN
tulonen;2,05;,510417786;2;5;FIN
tulossa;2,4;,680557047;2;6;FIN
tulosta;2,4;,680557047;2;6;FIN
tunneta;3,45;,604805319;0;4;FIN
tunteen;2,15;,587142949;2;7;FIN
tunteet;2,6;,598243042;1;7;FIN
tunteja;3;,648885685;0;6;FIN
tuntien;2,5;,688247202;2;5;FIN
tuodaan;2,45;,686332741;2;4;FIN
tuoksuu;3,7;,470162346;0;4;FIN
tuomaan;2,25;,716350399;2;6;FIN
tuomari;3,2;,695852374;0;6;FIN
tuomion;2,6;,598243042;1;5;FIN
tuoneet;2,45;,759154655;2;5;FIN
tuonnin;2,85;,366347549;0;5;FIN
tuoreen;2,25;,716350399;3;7;FIN
tuoreet;2,5;,688247202;2;7;FIN
tuorein;2,65;,587142949;1;6;FIN
tuotiin;2,35;,587142949;1;5;FIN
tuottaa;2,55;,686332741;2;6;FIN
tuottoa;2,75;,550119604;1;6;FIN
turhaan;2,75;,444261658;0;4;FIN
turkuun;3,4;,598243042;0;4;FIN
turunen;2,8;,410391341;0;5;FIN
turussa;2,65;,587142949;1;6;FIN
turusta;2,6;,598243042;1;6;FIN
turvata;2,85;,366347549;0;4;FIN
tutkija;3,3;,656946685;0;4;FIN
tuttuja;2,85;,670820393;1;6;FIN
tuttuun;3,25;,638666374;0;6;FIN
tutuksi;3,5;,512989176;0;5;FIN
tutustu;3,3;,656946685;0;5;FIN
tuusula;3,35;,587142949;0;3;FIN
tuville;2,8;,410391341;0;3;FIN
tykkään;3,05;,510417786;0;3;FIN
tyttöjä;3,65;,489360485;0;3;FIN
tyyliin;2,95;,510417786;0;4;FIN
tyystin;2,95;,510417786;0;4;FIN
työaika;3,7;,571240571;0;5;FIN
työajan;3,5;,688247202;0;5;FIN
työasua;3,6;,598243042;0;5;FIN
työkalu;3,85;,366347549;0;5;FIN
työkyky;4,2;,615587011;0;5;FIN
työntää;3,25;1,019545823;2;4;FIN
työpaja;3,65;,587142949;0;4;FIN
työstää;3,1;,852241626;1;4;FIN
työtään;2,6;,50262469;0;4;FIN
työuran;3,65;,670820393;0;6;FIN
työuria;3,75;,550119604;0;6;FIN
työväen;3,45;,604805319;0;4;FIN
tähtien;2,5;,606976979;1;3;FIN
tällöin;3,35;,489360485;0;3;FIN
tämäkin;3,55;,759154655;1;3;FIN
tänäkin;3,25;,850696309;1;3;FIN
tärkein;2,6;,598243042;1;6;FIN
tärkeys;3,3;,864504726;0;6;FIN
tärkeän;2,6;,753937035;2;7;FIN
tärkeät;3,1;,967906042;1;7;FIN
tärkeää;3,15;1,039989878;1;7;FIN
täyteen;2,65;,489360485;0;5;FIN
täyttyi;3,1;,788068926;1;7;FIN
täyttyy;3,1;,788068926;1;7;FIN
täyttää;2,35;,670820393;1;6;FIN
uhmaava;3,9;,307793506;0;2;FIN
ukkonen;2,9;,307793506;0;3;FIN
uksessa;3,1;,718184846;0;3;FIN
ulkoasu;4,3;,571240571;0;3;FIN
ulottuu;3,45;,686332741;0;3;FIN
uniikki;3,65;,587142949;0;4;FIN
unionin;3,75;,444261658;0;4;FIN
unkarin;3,9;,307793506;0;3;FIN
unohtaa;3,35;,587142949;0;6;FIN
unohtuu;3,65;,670820393;0;6;FIN
urakoin;3,8;,410391341;0;3;FIN
urheilu;4;,324442842;0;3;FIN
useampi;4,2;,767771896;0;5;FIN
useassa;2,7;,571240571;1;6;FIN
useasti;3,35;,74515982;0;6;FIN
useiden;3,4;,753937035;1;5;FIN
useilla;3;,648885685;0;5;FIN
useissa;2,55;,686332741;2;6;FIN
useista;2,65;,587142949;1;6;FIN
uskalla;2,9;,307793506;0;4;FIN
uskomme;3,65;,489360485;0;5;FIN
uskonto;3,6;,680557047;0;6;FIN
uskonut;3,1;,640723276;0;6;FIN
uskottu;3,3;,656946685;0;6;FIN
uskotun;3,55;,686332741;0;6;FIN
uskovat;3,05;,510417786;0;5;FIN
uudeksi;3,15;,812727701;0;5;FIN
uudella;2,65;,587142949;1;7;FIN
uudelle;2,8;,523148364;1;7;FIN
uudessa;2,65;,587142949;1;6;FIN
uudesta;2,8;,523148364;1;6;FIN
uunissa;2,55;,604805319;1;3;FIN
uusiksi;2,8;,410391341;0;5;FIN
uusilla;2,6;,598243042;1;7;FIN
uusille;2,8;,523148364;1;7;FIN
uusimaa;3,15;,74515982;0;5;FIN
uusinta;2,7;,656946685;1;5;FIN
uusissa;2,3;,656946685;2;6;FIN
uusista;2,4;,680557047;2;6;FIN
uusittu;3,25;,638666374;0;5;FIN
uutinen;2,85;,366347549;0;5;FIN
uutiset;3,25;,716350399;0;6;FIN
uutisia;2,8;,410391341;0;6;FIN
vaaleja;3,05;,394034463;0;5;FIN
vaalien;2,85;,366347549;0;5;FIN
vaappua;3,75;,444261658;0;4;FIN
vaarana;2,85;,366347549;0;4;FIN
vaatisi;3,3;,656946685;0;6;FIN
vaativa;2,8;,410391341;0;6;FIN
vahinko;3,75;,444261658;0;4;FIN
vahvana;2,85;,366347549;0;5;FIN
vahvoja;2,7;,656946685;1;5;FIN
vahvuus;3,25;,444261658;0;5;FIN
vaihdon;2,95;,686332741;0;5;FIN
vaiheen;2,5;,606976979;1;7;FIN
vaiheet;2,75;,550119604;1;7;FIN
vaihtaa;2,4;,598243042;1;6;FIN
vaihtoa;2,55;,686332741;2;7;FIN
vaihtoi;2,75;,850696309;2;7;FIN
vaihtui;2,7;,656946685;2;7;FIN
vaihtuu;2,7;,571240571;1;7;FIN
vaikeaa;2,7;,571240571;1;7;FIN
vaikean;2,8;,523148364;1;7;FIN
vaikeus;2,85;,366347549;0;6;FIN
vaikkei;3,1;,447213595;0;5;FIN
vaikuta;2,95;,223606798;0;5;FIN
vaimoni;3,7;,470162346;0;4;FIN
vakavaa;2,7;,656946685;2;7;FIN
vakavan;2,65;,587142949;1;7;FIN
vakavia;2,9;,640723276;1;6;FIN
vakiona;3,25;,444261658;0;4;FIN
vakuutu;3,6;,50262469;0;4;FIN
valinta;2,9;,307793506;0;5;FIN
valitse;2,95;,825577947;1;7;FIN
valitsi;2,7;,571240571;1;7;FIN
valittu;2,6;,50262469;0;6;FIN
valitun;2,6;,680557047;1;7;FIN
valitus;2,55;,686332741;1;7;FIN
valitut;2,7;,801314709;1;7;FIN
valkama;2,9;,307793506;0;4;FIN
valmiin;2,7;,571240571;1;7;FIN
valmiit;3,25;,850696309;1;7;FIN
valmius;3,1;,640723276;0;6;FIN
valoisa;2,8;,523148364;1;5;FIN
valossa;2,45;,759154655;2;5;FIN
valtava;2,55;,510417786;0;5;FIN
valtion;2,75;,550119604;1;7;FIN
valtiot;3,05;,686332741;1;7;FIN
valvoja;2,7;,571240571;1;4;FIN
vammala;2,85;,366347549;0;3;FIN
vanhaan;2,45;,604805319;1;6;FIN
vanhala;2,7;,470162346;0;6;FIN
vanhoja;2,8;,410391341;0;5;FIN
vankien;2,95;,223606798;0;4;FIN
vantaan;2,15;,670820393;3;4;FIN
vapaana;2,7;,571240571;1;6;FIN
vapaata;2,65;,670820393;2;6;FIN
vapaita;2,75;,550119604;1;5;FIN
varalla;2,3;,732695097;3;7;FIN
varalle;2,7;,571240571;1;7;FIN
varalta;2,4;,598243042;1;6;FIN
varassa;2,5;,512989176;0;6;FIN
varasto;2,6;,598243042;1;6;FIN
varattu;2,75;,444261658;0;5;FIN
varhain;2,85;,366347549;0;4;FIN
variety;3,6;,50262469;0;4;FIN
varjoon;3,05;,223606798;0;4;FIN
