model;cat;index;diff
FIN;11;23;3,20187358236686
FIN;12;1;3,5985367812426
FIN;12;2;2,5580677491716
FIN;12;3;3,00863453035503
FIN;12;4;3,49961316378698
FIN;12;5;2,57756733230769
FIN;12;6;2,58392208869823
FIN;12;7;3,12778158473373
FIN;12;8;3,58068010207101
FIN;12;9;3,25685430153846
FIN;12;10;3,26441188863905
FIN;12;11;3,3655568587574
FIN;12;12;2,85470740236686
FIN;12;13;3,50017385822485
FIN;12;14;3,53015585408284
FIN;12;15;3,12514904615385
FIN;12;16;3,36995034769231
FIN;12;17;3,37159029786982
FIN;12;18;3,45641005585799
FIN;12;19;3,46969024011834
FIN;12;20;3,25885336272189
FIN;12;21;3,32799467473373
FIN;12;22;3,47422476177515
FIN;12;23;3,11626498556213
FIN;13;1;3,73382082461539
FIN;13;2;2,82214929236686
FIN;13;3;3,23687614189349
FIN;13;4;3,64335718775148
FIN;13;5;2,8946720960355
FIN;13;6;2,85040296627219
FIN;13;7;3,30980846159763
FIN;13;8;3,73851693668639
FIN;13;9;3,4915051304142
FIN;13;10;3,51527966011834
FIN;13;11;3,5540873512426
FIN;13;12;3,50017385822485
FIN;13;13;3,18747260934911
FIN;13;14;3,71944593502959
FIN;13;15;3,31689728526627
FIN;13;16;3,58635909106509
FIN;13;17;3,52900967798817
FIN;13;18;3,57059695514793
FIN;13;19;3,6455567560355
FIN;13;20;3,4438348935503
FIN;13;21;3,61779704284024
FIN;13;22;3,58027394295858
FIN;13;23;3,2813645995858
FIN;14;1;3,67153440692308
FIN;14;2;2,95578397094675
FIN;14;3;3,27339105065089
FIN;14;4;3,64861833112426
FIN;14;5;2,97019674994083
FIN;14;6;2,89844796662722
FIN;14;7;3,42121837242604
FIN;14;8;3,67254232704142
FIN;14;9;3,56057261893491
FIN;14;10;3,55468233964497
FIN;14;11;3,62641365254438
FIN;14;12;3,53015585408284
FIN;14;13;3,71944593502959
FIN;14;14;3,13637710745562
FIN;14;15;3,43778276857988
FIN;14;16;3,61989312769231
FIN;14;17;3,67035564402367
FIN;14;18;3,69817047763314
FIN;14;19;3,61741464295858
FIN;14;20;3,54469472047337
FIN;14;21;3,55513248408284
FIN;14;22;3,58975162609467
FIN;14;23;3,40475205218935
FIN;15;1;3,46859481597633
FIN;15;2;2,35992233147929
FIN;15;3;2,82080440739645
FIN;15;4;3,37333181053254
FIN;15;5;2,41062536639053
FIN;15;6;2,34638628201183
FIN;15;7;2,92819049721894
FIN;15;8;3,50851051213018
FIN;15;9;3,19102482822485
FIN;15;10;3,22878100165681
FIN;15;11;3,23406605816568
FIN;15;12;3,12514904615385
FIN;15;13;3,31689728526627
FIN;15;14;3,43778276857988
FIN;15;15;2,61796593088757
FIN;15;16;3,28232792757396
FIN;15;17;3,27400734923077
FIN;15;18;3,3135639660355
FIN;15;19;3,37341591857988
FIN;15;20;3,15699573414201
FIN;15;21;3,24722192171598
FIN;15;22;3,35427142674556
FIN;15;23;2,91119816674556
FIN;16;1;3,68379751674556
FIN;16;2;2,73384943053254
FIN;16;3;3,05206072710059
FIN;16;4;3,56917900704142
FIN;16;5;2,71295936289941
FIN;16;6;2,71800539337278
FIN;16;7;3,23841870307692
FIN;16;8;3,67611097526627
FIN;16;9;3,38722006905325
FIN;16;10;3,4143588335503
FIN;16;11;3,47194048378698
FIN;16;12;3,36995034769231
FIN;16;13;3,58635909106509
FIN;16;14;3,61989312769231
FIN;16;15;3,28232792757396
FIN;16;16;2,95266337597633
FIN;16;17;3,51830229579882
FIN;16;18;3,53505175112426
FIN;16;19;3,58766399384615
FIN;16;20;3,3256501008284
FIN;16;21;3,44422876627219
FIN;16;22;3,53089674272189
FIN;16;23;3,25180572272189
FIN;17;1;3,70139371710059
FIN;17;2;2,76187315615385
FIN;17;3;3,13999139035503
FIN;17;4;3,60511658639053
FIN;17;5;2,76335988680473
FIN;17;6;2,79123705852071
FIN;17;7;3,27474993272189
FIN;17;8;3,69595161272189
FIN;17;9;3,41690346301775
FIN;17;10;3,46621041017751
FIN;17;11;3,46980360384615
FIN;17;12;3,37159029786982
FIN;17;13;3,52900967798817
FIN;17;14;3,67035564402367
FIN;17;15;3,27400734923077
FIN;17;16;3,51830229579882
FIN;17;17;3,08631067325444
FIN;17;18;3,52392335804734
FIN;17;19;3,58610648982248
FIN;17;20;3,42097234934911
FIN;17;21;3,50245218763314
FIN;17;22;3,57735181739645
FIN;17;23;3,24446870130178
FIN;18;1;3,73774824136095
FIN;18;2;2,82654704556213
FIN;18;3;3,21956997218935
FIN;18;4;3,63829047071006
FIN;18;5;2,86348028928994
FIN;18;6;2,82606467414201
FIN;18;7;3,3732283460355
FIN;18;8;3,71613476076923
FIN;18;9;3,43615936218935
FIN;18;10;3,49537323887574
FIN;18;11;3,52505437449704
FIN;18;12;3,45641005585799
FIN;18;13;3,57059695514793
FIN;18;14;3,69817047763314
FIN;18;15;3,3135639660355
FIN;18;16;3,53505175112426
FIN;18;17;3,52392335804734
FIN;18;18;3,21587701491124
FIN;18;19;3,64009948627219
FIN;18;20;3,5070704747929
FIN;18;21;3,57944574420118
FIN;18;22;3,64544698798817
FIN;18;23;3,3130764604142
FIN;19;1;3,61710603213018
FIN;19;2;2,8503305843787
FIN;19;3;3,22868027207101
FIN;19;4;3,52939596278107
FIN;19;5;2,86652246088757
FIN;19;6;2,77548538195266
FIN;19;7;3,29227161384615
FIN;19;8;3,62614648301775
FIN;19;9;3,50177540065089
FIN;19;10;3,53630794727811
FIN;19;11;3,55244371964497
FIN;19;12;3,46969024011834
FIN;19;13;3,6455567560355
FIN;19;14;3,61741464295858
FIN;19;15;3,37341591857988
FIN;19;16;3,58766399384615
FIN;19;17;3,58610648982249
FIN;19;18;3,64009948627219
FIN;19;19;3,08590808721893
FIN;19;20;3,48816769153846
FIN;19;21;3,44440299994083
FIN;19;22;3,48867500514793
FIN;19;23;3,19801437455621
FIN;20;1;3,57830728112426
FIN;20;2;2,59549499887574
FIN;20;3;2,96389543426035
FIN;20;4;3,49666301946746
FIN;20;5;2,60636591680473
FIN;20;6;2,58239526615385
FIN;20;7;3,11057974337278
FIN;20;8;3,64074105769231
FIN;20;9;3,27977563449704
FIN;20;10;3,28474028384615
FIN;20;11;3,36148967692308
FIN;20;12;3,25885336272189
FIN;20;13;3,4438348935503
FIN;20;14;3,54469472047337
FIN;20;15;3,15699573414201
FIN;20;16;3,3256501008284
FIN;20;17;3,42097234934911
FIN;20;18;3,5070704747929
FIN;20;19;3,48816769153846
FIN;20;20;2,7605643147929
FIN;20;21;3,34868087076923
FIN;20;22;3,40552490153846
FIN;20;23;3,1445553139645
FIN;21;1;3,56228393213018
FIN;21;2;2,76702715295858
FIN;21;3;3,08348887988166
FIN;21;4;3,48113116112426
FIN;21;5;2,76065142798817
FIN;21;6;2,63654953420118
FIN;21;7;3,22403921076923
FIN;21;8;3,58502098360947
FIN;21;9;3,38561500982249
FIN;21;10;3,46034615284024
FIN;21;11;3,45522759792899
FIN;21;12;3,32799467473373
FIN;21;13;3,61779704284024
FIN;21;14;3,55513248408284
FIN;21;15;3,24722192171598
FIN;21;16;3,44422876627219
FIN;21;17;3,50245218763314
FIN;21;18;3,57944574420118
FIN;21;19;3,44440299994083
FIN;21;20;3,34868087076923
FIN;21;21;2,8117741756213
FIN;21;22;3,43474952254438
FIN;21;23;3,1245594560355
FIN;22;1;3,58432463384615
FIN;22;2;2,83767653272189
FIN;22;3;3,15141631710059
FIN;22;4;3,52851045331361
FIN;22;5;2,84086308964497
FIN;22;6;2,73508852236686
FIN;22;7;3,28314274923077
FIN;22;8;3,62390415585799
FIN;22;9;3,46510906053254
FIN;22;10;3,50291254668639
FIN;22;11;3,51657179698225
FIN;22;12;3,47422476177515
FIN;22;13;3,58027394295858
FIN;22;14;3,58975162609467
FIN;22;15;3,35427142674556
FIN;22;16;3,53089674272189
FIN;22;17;3,57735181739645
FIN;22;18;3,64544698798817
FIN;22;19;3,48867500514793
FIN;22;20;3,40552490153846
FIN;22;21;3,43474952254438
FIN;22;22;2,99594976816568
FIN;22;23;3,21335960491124
FIN;23;1;3,35792007414201
FIN;23;2;2,28755716775148
FIN;23;3;2,69685600189349
FIN;23;4;3,30731921840237
FIN;23;5;2,32182117319527
FIN;23;6;2,20653411550296
FIN;23;7;2,8881786939645
FIN;23;8;3,36371372118343
FIN;23;9;3,10502643236686
FIN;23;10;3,22032998112426
FIN;23;11;3,20187358236686
FIN;23;12;3,11626498556213
FIN;23;13;3,2813645995858
FIN;23;14;3,40475205218935
FIN;23;15;2,91119816674556
FIN;23;16;3,25180572272189
FIN;23;17;3,24446870130178
FIN;23;18;3,3130764604142
FIN;23;19;3,19801437455621
FIN;23;20;3,1445553139645
FIN;23;21;3,1245594560355
FIN;23;22;3,21335960491124
FIN;23;23;2,26211782627219
FRA;1;1;3,07537670414201
FRA;1;2;3,48145373360947
FRA;1;3;3,58574150674556
FRA;1;4;3,64621214852071
FRA;1;5;3,79462819207101
FRA;1;6;3,51934922792899
FRA;1;7;3,54646995869823
FRA;1;8;3,40753360325444
FRA;1;9;3,53514566579882
FRA;1;10;3,12834072781065
FRA;1;11;2,91902131106509
FRA;1;12;3,71351862698225
FRA;1;13;3,54669175680473
FRA;1;14;3,7387194616568
FRA;1;15;3,57203039609468
FRA;1;16;3,47920108142012
FRA;1;17;3,15862364017751
FRA;1;18;3,7819384747929
FRA;1;19;3,63708838325444
FRA;1;20;3,80337804633136
FRA;1;21;3,5942838952071
FRA;1;22;3,50678460952663
FRA;1;23;2,79579016863905
FRA;1;24;3,36402436360947
FRA;1;25;3,12235555242604
FRA;1;26;2,96888457047337
FRA;1;27;2,7125119591716
FRA;1;28;2,93419854597633
FRA;1;29;2,79450002556213
FRA;1;30;3,07154657680473
FRA;1;31;3,75642738905325
FRA;1;32;2,92894565017752
FRA;1;33;2,79727901207101
FRA;1;34;2,76504031923077
FRA;1;35;2,83346759988166
