model;cat;index;diff
RANDOM;9;11;2,89536368
RANDOM;9;12;3,27966812
RANDOM;9;13;3,31405385
RANDOM;10;1;3,66184715
RANDOM;10;2;3,81946911
RANDOM;10;3;3,76838077
RANDOM;10;4;3,36673328
RANDOM;10;5;3,14737911
RANDOM;10;6;2,98476538
RANDOM;10;7;2,7246648
RANDOM;10;8;2,64348467
RANDOM;10;9;2,11672772
RANDOM;10;10;0
RANDOM;10;11;2,15535537
RANDOM;10;12;2,86966954
RANDOM;10;13;3,09841996
RANDOM;11;1;3,73236521
RANDOM;11;2;3,83160974
RANDOM;11;3;3,8753341
RANDOM;11;4;3,7448002
RANDOM;11;5;3,55604818
RANDOM;11;6;3,21164062
RANDOM;11;7;2,80911291
RANDOM;11;8;3,03327472
RANDOM;11;9;2,89536368
RANDOM;11;10;2,15535537
RANDOM;11;11;0
RANDOM;11;12;2,3207641
RANDOM;11;13;2,8252817
RANDOM;12;1;3,83457358
RANDOM;12;2;3,84642001
RANDOM;12;3;3,85702525
RANDOM;12;4;3,91545538
RANDOM;12;5;3,83488802
RANDOM;12;6;3,39047992
RANDOM;12;7;2,84932617
RANDOM;12;8;3,13093477
RANDOM;12;9;3,27966812
RANDOM;12;10;2,86966954
RANDOM;12;11;2,3207641
RANDOM;12;12;0
RANDOM;12;13;2,35063925
RANDOM;13;1;3,83789989
RANDOM;13;2;3,87696824
RANDOM;13;3;3,85405145
RANDOM;13;4;3,84453421
RANDOM;13;5;3,78613632
RANDOM;13;6;3,48499843
RANDOM;13;7;2,91866746
RANDOM;13;8;3,17588637
RANDOM;13;9;3,31405385
RANDOM;13;10;3,09841996
RANDOM;13;11;2,8252817
RANDOM;13;12;2,35063925
RANDOM;13;13;0
